State,Abbreviation,Population,Density,Minimum_Wage,Percent_Unemployed,Percent_Poverty,Largest_Employer,Colleges,Percent_Highschool,Percent_College,Education_Spending,Covid_Rate,Incarceration_Rate,Governor,Percent_Voters,Cities,Diversity_Score,Happiness_Score,Top_Pet,Beach,State_Tree
Illinois,IL,12.5693,226.3964,10,7.1,11.2,Walmart,4,89.4,35.2,0.322471402,189,222,Democrat,0.6394,8,67.93,50.14,Split,FALSE,White Oak
Indiana,IN,6.80566,189.9643,7.25,3.9,12,Walmart,3,88.8,26.9,0.336086907,196,222,Republican,0.6737,5,62.57,47.96,Split,FALSE,Tulip Poplar
Iowa,IA,3.16797,56.7157,7.25,3.7,11.2,Other,2,92.2,28.6,0.356884876,186,222,Republican,0.7087,3,61.88,59.65,Cat,FALSE,Oak
Kansas,KS,2.91722,35.6807,7.25,3.7,11.3,Walmart,2,90.9,33.4,0.364341949,168,222,Democrat,0.6346,5,64.92,49.16,Split,FALSE,Cottonwood
Michigan,MI,9.99243,176.7352,9.65,5.1,12.9,Other,3,91,29.6,0.361255745,178,222,Democrat,0.8133,7,62.84,47.27,Split,FALSE,Eastern White Pine
Minnesota,MN,5.7064,71.6641,10,4.2,8.7,Other,1,93.4,37.2,0.334061875,125,222,Democrat,0.6289,3,63.95,65.87,Cat,FALSE,Red Pine
Missouri,MO,6.16904,89.7419,9.45,4.2,12.4,Walmart,2,90.3,29.6,0.325007421,147,222,Republican,0.6829,5,62.83,45.79,Split,FALSE,Flowering Dogwood
Nebraska,NE,1.952,25.4087,9,2.9,10.2,Other,1,91.8,32.9,0.416264136,114,202,Republican,0.6414,2,64.24,59.06,Cat,FALSE,Cottonwood
North Dakota,ND,0.770026,11.1596,7.25,4.4,10.6,Other,0,92.6,28.8,0.31387915,198,202,Republican,0.755,1,62.84,60.02,Cat,FALSE,American Elm
Ohio,OH,11.7146,286.6939,8.7,4.7,12.8,Walmart,3,90.5,28.8,0.332879852,162,202,Republican,0.6637,6,62.14,48.37,Cat,FALSE,Ohio Buckeye
South Dakota,SD,0.896581,11.8265,9.3,2.9,10.4,Other,0,92.2,28.9,0.343051231,220,184,Republican,0.6454,1,63.13,58.53,Split,FALSE,Black Hills Spruce
Wisconsin,WI,5.85249,108.0633,7.25,3.8,9.5,Other,2,92.3,30.2,0.339244224,127,10,Democrat,0.6296,3,62.74,54.32,Cat,FALSE,Sugar Maple
