State,Abbreviation,Region,Population,Density,Minimum_Wage,Percent_Unemployed,Percent_Poverty,Largest_Employer,Universities,Percent_Highschool,Percent_College,Education_Spending,Covid_Rate,Incarceration_Rate,Governor,Percent_Voters,Cities,Diversity_Score,Happiness_Score,Top_Pet,Beach
Connecticut,CT,Northeast,3.55282,733.7505,12,8.3,10,Other,2,90.8,39.7,0.397505455,224,635,Democrat,0.6686,5,67.08,59.23,Cat,TRUE
Maine,ME,Northeast,1.35452,43.9166,12,4.8,10.3,Other,0,92.8,30.6,0.305447973,56,222,Democrat,0.7851,0,58.4,50.12,Cat,TRUE
Massachusetts,MA,Northeast,6.91224,886.1846,12.75,6.8,9.2,Other,8,90.8,44.4,0.298564026,253,222,Republican,0.6963,5,65.88,57.3,Cat,TRUE
New Hampshire,NH,Northeast,1.3722,153.2671,7.25,3,7.3,Walmart,2,92.9,37.2,0.374842314,93,202,Republican,0.7277,1,60.78,53.36,Cat,TRUE
New Jersey,NJ,Northeast,8.87452,1206.7609,11,7.7,8.9,Other,3,90.1,40.6,0.395743219,282,202,Democrat,0.7309,6,69.38,64.1,Split,TRUE
New York,NY,Northeast,19.3,409.5404,11.8,8.5,12.5,Other,11,87.2,37.3,0.30226483,264,202,Democrat,0.7024,5,69.21,54.86,Cat,TRUE
Pennsylvania,PA,Northeast,12.8041,286.1699,7.25,7.3,11.9,Other,6,91.1,31.8,0.335866755,200,199,Democrat,0.71,3,63.87,50.16,Cat,FALSE
Rhode Island,RI,Northeast,1.06151,1026.6054,10.5,7.1,10.4,Other,1,88.8,34.5,0.31707093,250,197,Democrat,0.7629,1,65.67,50.96,Cat,TRUE
Vermont,VT,Northeast,0.623251,67.6197,10.96,2.9,9.9,Other,0,93.4,39.1,0.386100911,38,10,Republican,0.7947,0,59.78,55.59,Cat,FALSE
Alabama,AL,South,4.93419,97.427,7.25,3.8,15.3,Walmart,3,86.5,25.3,0.338841383,219,946,Republican,0.7517,5,64.04,40.28,Split,TRUE
Arkansas,AR,South,3.03395,58.3059,10,4.4,16.4,Walmart,1,87.3,23.3,0.336396389,188,691,Republican,0.5787,1,63.43,36.83,Dog,FALSE
Delaware,DE,South,0.990334,508.1242,9.25,6.5,10.8,Other,1,89.6,31.2,0.372754491,164,226,Democrat,0.7458,0,66.46,52.25,Split,TRUE
District of Columbia,DC,South,0.714153,11707.4262,15,8.4,13.6,Other,2,91.8,60.2,0.219313467,154,NA,Democrat,0.7624,1,NA,NA,Unknown,FALSE
Florida,FL,South,21.9446,409.2233,8.56,4.7,12.5,Walmart,6,88.5,30.5,0.27767178,159,222,Republican,0.641,22,68.18,50.58,Split,TRUE
